"Rank","Drug","NES","FDR","IntegratedScore","BBB_Score","BBB_Prediction","Max_Phase","MW","LogP","PSA","HBA","HBD","Lipinski_Violations","Pathway_Hits","Clinical_Trials","ChEMBL_ID","Source","Targets"
1,"ciclopirox",-2.261,1.66e-05,3.4,1,"HIGH BBB Penetration",4,207.27,2.44,42.23,3,1,0,0,0,"CHEMBL1413","ChEMBL API",NA
2,"ciclopirox",-2.156,5.86e-05,3.167,1,"HIGH BBB Penetration",4,207.27,2.44,42.23,3,1,0,0,0,"CHEMBL1413","ChEMBL API",NA
3,"dimethyloxalylglycine",-2.388,4e-06,3.044,0.825,"HIGH BBB Penetration",NA,175.14,-1.55,81.7,5,1,0,0,0,"CHEMBL92309","ChEMBL API",NA
4,"hyoscyamine",-1.958,0.0158,2.74,1,"HIGH BBB Penetration",-1,289.37,1.93,49.77,4,1,0,0,0,"CHEMBL1331216","ChEMBL API",NA
5,"3-METHOXYCATECHOL",-1.929,0.0481,2.68,1,"HIGH BBB Penetration",NA,140.14,1.11,49.69,3,2,0,0,0,"CHEMBL1518159","ChEMBL API",NA
6,"oxolinic acid",-1.898,0.0319,2.616,1,"HIGH BBB Penetration",2,261.23,1.45,77.76,5,1,0,0,0,"CHEMBL416755","ChEMBL API",NA
7,"LY-294002",-2.039,0.000818,2.402,0.825,"HIGH BBB Penetration",-1,307.35,3.3,42.68,4,0,0,0,0,"CHEMBL98350","ChEMBL API",NA
8,"pyrantel",-1.792,0.0394,2.399,1,"HIGH BBB Penetration",2,206.31,2.5,15.6,3,0,0,0,0,"CHEMBL1626223","ChEMBL API",NA
9,"GW-8510",-2.01,0.00492,2.351,0.825,"HIGH BBB Penetration",NA,364.44,3.89,77.1,5,1,0,0,0,"CHEMBL4303385","ChEMBL API",NA
10,"ifosfamide",-1.728,0.0751,2.272,1,"HIGH BBB Penetration",4,261.09,1.88,41.57,2,1,0,0,0,"CHEMBL1024","ChEMBL API",NA
11,"pentetrazol",-1.946,0.0245,2.24,0.825,"HIGH BBB Penetration",2,138.17,0.4,43.6,4,0,0,0,0,"CHEMBL116943","ChEMBL API",NA
12,"progesterone",-1.877,0.0362,2.121,0.825,"HIGH BBB Penetration",4,314.47,4.72,34.14,2,0,0,0,0,"CHEMBL103","ChEMBL API",NA
13,"primidone",-1.866,0.0327,2.104,0.825,"HIGH BBB Penetration",4,218.26,0.54,58.2,2,2,0,0,0,"CHEMBL856","ChEMBL API",NA
14,"Metformin",-2.058,0.00833,2.066,0.7,"HIGH BBB Penetration",4,129.17,-1.03,88.99,2,4,0,0,0,"CHEMBL1431","ChEMBL API",NA
15,"CUMENE HYDROPEROXIDE",-1.618,0.203,2.058,1,"HIGH BBB Penetration",NA,152.19,2.41,29.46,2,1,0,0,0,"CHEMBL1518369","ChEMBL API",NA
16,"metoprolol",-1.908,0.0235,1.977,0.75,"HIGH BBB Penetration",4,652.83,1.61,50.72,4,2,0,0,0,"CHEMBL2356097","ChEMBL API",NA
17,"tolbutamide",-1.572,0.219,1.97,1,"HIGH BBB Penetration",4,270.35,1.78,75.27,3,2,0,0,0,"CHEMBL782","ChEMBL API",NA
18,"Chloranil",-1.563,0.204,1.953,1,"HIGH BBB Penetration",NA,245.88,2.52,34.14,2,0,0,0,0,"CHEMBL192627","ChEMBL API",NA
19,"nilutamide",-1.884,0.00687,1.94,0.75,"HIGH BBB Penetration",4,317.22,2.45,92.55,4,1,0,0,0,"CHEMBL1274","ChEMBL API",NA
20,"Lysergide",-1.538,0.221,1.907,1,"HIGH BBB Penetration",NA,323.44,2.91,39.34,2,1,0,0,0,"CHEMBL4764888","ChEMBL API",NA
21,"Fenbuconazole",-1.729,0.0401,1.875,0.825,"HIGH BBB Penetration",NA,336.83,4.03,54.5,4,0,0,0,0,"CHEMBL1879687","ChEMBL API",NA
22,"malathion",-1.662,0.131,1.875,0.875,"HIGH BBB Penetration",4,330.36,2.12,71.06,8,0,0,0,0,"CHEMBL1200468","ChEMBL API",NA
23,"atovaquone",-1.707,0.0929,1.84,0.825,"HIGH BBB Penetration",4,366.84,5.51,54.37,3,1,1,0,0,"CHEMBL1450","ChEMBL API",NA
